asset_id,current_los,method_1_cost,method_2_cost,method_3_cost,weight,SHAPE_Leng
1010469,7.5,16854.2,67416.8,294948.5,0.46,226.0218479
1010470,6.5,2862.7,11450.8,50097.25,0.08,28.67719345
1010471,5.6,8854.5,35418,154953.75,0.24,154.7878941
1010472,5.1,5408.4,21633.6,94647,0.15,88.78052988
1010473,7.3,521.3,2085.2,9122.75,0.01,10.31837033
1010474,7.5,19349.4,77397.6,338614.5,0.53,249.5125211
1010475,8.4,6946.4,27785.6,121562,0.19,63.1588362
1010476,6.3,489.1,1956.4,8559.25,0.01,9.973128798
1010477,5.568267088,6142.2,24568.8,107488.5,0.17,107.9954602
1010478,7.3,4978.5,19914,87123.75,0.14,79.18015625
1010479,6.4,21664.7,86658.8,379132.25,0.59,307.5362055
1010480,5.1,16795.3,67181.2,293917.75,0.46,129.6846852
